date,EV Trend,Coronavirus Trend,Coronavirus_unscaled,Coronavirus_monthly,isPartial_x,scale_x,Electric vehicle_unscaled,Electric vehicle_monthly,isPartial_y,scale_y
2015-02-01,11.0,0.0,,,,,,,,
2015-02-02,13.8,0.0,,,,,,,,
2015-02-04,16.2,0.0,,,,,,,,
2015-02-05,10.0,0.0,,,,,,,,
2015-02-06,11.4,0.0,,,,,,,,
2015-02-07,12.8,0.0,,,,,,,,
2015-02-08,12.6,0.0,,,,,,,,
2015-02-09,13.0,0.0,,,,,,,,
2015-02-10,14.8,0.0,,,,,,,,
2015-02-12,15.8,0.0,,,,,,,,
2015-02-13,19.200000000000003,0.0,,,,,,,,
2015-02-14,7.800000000000001,0.0,,,,,,,,
2015-02-15,6.4,0.0,,,,,,,,
2015-02-17,11.2,0.0,,,,,,,,
2015-02-18,14.2,0.0,,,,,,,,
2015-02-20,17.8,0.0,,,,,,,,
2015-02-21,10.2,0.0,,,,,,,,
2015-02-22,15.2,0.0,,,,,,,,
2015-02-23,10.8,0.0,,,,,,,,
2015-02-24,9.0,0.0,,,,,,,,
2015-02-25,17.2,0.0,,,,,,,,
2015-02-26,13.2,0.0,,,,,,,,
2015-02-27,16.400000000000002,0.0,,,,,,,,
2015-02-28,20.0,0.0,,,,,,,,
2015-03-01,12.2,0.0,,,,,,,,
2015-03-07,8.4,0.0,,,,,,,,
2015-03-08,12.0,0.0,,,,,,,,
2015-03-14,9.8,0.0,,,,,,,,
2015-03-15,3.2,0.0,,,,,,,,
2015-03-17,9.6,0.0,,,,,,,,
2015-03-21,2.2,0.0,,,,,,,,
2015-03-22,8.6,0.0,,,,,,,,
2015-03-23,14.4,0.0,,,,,,,,
2015-03-26,13.4,0.0,,,,,,,,
2015-03-28,11.8,0.0,,,,,,,,
2015-03-29,10.6,0.0,,,,,,,,
2015-04-02,14.3,0.0,,,,,,,,
2015-04-03,15.62,0.0,,,,,,,,
2015-04-04,20.9,0.0,,,,,,,,
2015-04-05,9.46,0.0,,,,,,,,
2015-04-06,9.24,0.0,,,,,,,,
2015-04-07,10.78,0.0,,,,,,,,
2015-04-08,19.8,0.0,,,,,,,,
2015-04-09,12.98,0.0,,,,,,,,
2015-04-10,16.72,0.0,,,,,,,,
2015-04-11,9.02,0.0,,,,,,,,
2015-04-14,13.42,0.0,,,,,,,,
2015-04-15,15.84,0.0,,,,,,,,
2015-04-16,14.96,0.0,,,,,,,,
2015-04-17,11.66,0.0,,,,,,,,
2015-04-18,10.56,0.0,,,,,,,,
2015-04-19,15.4,0.0,,,,,,,,
2015-04-20,13.64,0.0,,,,,,,,
2015-04-21,17.6,0.0,,,,,,,,
2015-04-22,20.46,0.0,,,,,,,,
2015-04-23,15.18,0.0,,,,,,,,
2015-04-24,22.0,0.0,,,,,,,,
2015-04-25,6.38,0.0,,,,,,,,
2015-04-26,11.88,0.0,,,,,,,,
2015-04-28,12.76,0.0,,,,,,,,
2015-04-29,16.06,0.0,,,,,,,,
2015-04-30,11.22,0.0,,,,,,,,
2015-05-02,7.48,0.0,,,,,,,,
2015-05-05,18.7,0.0,,,,,,,,
2015-05-06,16.94,0.0,,,,,,,,
2015-05-07,18.26,0.0,,,,,,,,
2015-05-08,10.12,0.0,,,,,,,,
2015-05-10,5.28,0.0,,,,,,,,
2015-05-11,11.44,0.0,,,,,,,,
2015-05-13,16.28,0.0,,,,,,,,
2015-05-16,10.34,0.0,,,,,,,,
2015-05-19,12.54,0.0,,,,,,,,
2015-05-25,17.38,0.0,,,,,,,,
2015-05-27,14.52,0.0,,,,,,,,
2015-05-29,7.26,0.0,,,,,,,,
2015-06-01,13.02,0.0,,,,,,,,
2015-06-03,9.66,0.0,,,,,,,,
2015-06-04,14.7,0.0,,,,,,,,
2015-06-05,12.18,0.0,,,,,,,,
2015-06-06,12.39,0.0,,,,,,,,
2015-06-07,12.81,0.0,,,,,,,,
2015-06-08,10.5,0.0,,,,,,,,
2015-06-09,9.45,0.0,,,,,,,,
2015-06-11,8.82,0.0,,,,,,,,
2015-06-12,10.29,0.0,,,,,,,,
2015-06-13,11.34,0.0,,,,,,,,
2015-06-14,15.33,0.0,,,,,,,,
2015-06-16,21.0,0.0,,,,,,,,
2015-06-17,16.38,0.0,,,,,,,,
2015-06-20,15.96,0.0,,,,,,,,
2015-06-21,7.56,0.0,,,,,,,,
2015-06-23,11.55,0.0,,,,,,,,
2015-06-25,11.76,0.0,,,,,,,,
2015-06-26,10.08,0.0,,,,,,,,
2015-06-27,6.09,0.0,,,,,,,,
2015-07-03,9.4,0.0,,,,,,,,
2015-07-05,4.6000000000000005,0.0,,,,,,,,
2015-07-09,19.0,0.0,,,,,,,,
2015-07-15,16.6,0.0,,,,,,,,
2015-07-17,18.6,0.0,,,,,,,,
2015-07-18,4.4,0.0,,,,,,,,
2015-07-22,19.6,0.0,,,,,,,,
2015-07-26,4.2,0.0,,,,,,,,
2015-07-31,11.6,0.0,,,,,,,,
2015-08-01,16.34,0.0,,,,,,,,
2015-08-02,3.8,0.0,,,,,,,,
2015-08-03,14.06,0.0,,,,,,,,
2015-08-04,10.83,0.0,,,,,,,,
2015-08-05,9.88,0.0,,,,,,,,
2015-08-07,11.21,0.0,,,,,,,,
2015-08-08,8.74,0.0,,,,,,,,
2015-08-10,6.84,0.0,,,,,,,,
2015-08-12,14.82,0.0,,,,,,,,
2015-08-13,10.07,0.0,,,,,,,,
2015-08-14,15.01,0.0,,,,,,,,
2015-08-17,14.44,0.0,,,,,,,,
2015-08-18,13.49,0.0,,,,,,,,
2015-08-19,10.64,0.0,,,,,,,,
2015-08-20,15.58,0.0,,,,,,,,
2015-08-22,12.16,0.0,,,,,,,,
2015-08-23,4.94,0.0,,,,,,,,
2015-08-25,8.55,0.0,,,,,,,,
2015-08-26,9.31,0.0,,,,,,,,
2015-08-27,7.6,0.0,,,,,,,,
2015-08-28,13.68,0.0,,,,,,,,
2015-09-02,14.74,0.0,,,,,,,,
2015-09-04,12.32,0.0,,,,,,,,
2015-09-08,8.8,0.0,,,,,,,,
2015-09-09,19.14,0.0,,,,,,,,
2015-09-13,19.58,0.0,,,,,,,,
2015-09-15,20.02,0.0,,,,,,,,
2015-09-18,5.94,0.0,,,,,,,,
2015-10-02,13.6,0.0,,,,,,,,
2015-10-03,1.4,0.0,,,,,,,,
2015-10-04,15.6,0.0,,,,,,,,
2015-10-05,16.0,0.0,,,,,,,,
2015-10-12,7.2,0.0,,,,,,,,
